 (Half Day), (نیم روز)
 .You can not assign / modify / remove Master Name, .شما هنوز می توانید اختصاص \/ ویرایش \/ حذف نام استاد
 View, مشاهده
 after this transaction., پس از این معامله.
 against cost center , مقابل مرکز هزینه
 against sales order, برابر سفارش فروش
 against same operation, برابر همان عملیات
 already marked, در حال حاضر مشخص شده
 and year: , و سال:
 as it is stock Item or packing item, به عنوان سهام آیتم یا آیتم های بسته بندی
 at warehouse: , در انبار:
 budget , بودجه
 by Role , نقش
 can not be made., نه می توان ساخته شده است.
 can not be marked as a ledger as it has existing child, که آن کودک موجود می تواند بعنوان معین مشخص نمی شود
 can only be debited/credited through Stock transactions, تنها می توان debited\/اعتبار از طریق معاملات سهام
 cannot be 0, نمی توان 0
 cannot be deleted., حذف نمی باشد.
 created, ایجاد شده
 does not belong to , متعلق به باشد
 does not belong to Warehouse, متعلق به انبار باشد
 does not belong to the company, متعلق به شرکت باشد
 does not exists, وجود دارد
 for account , حساب
 has already been submitted., در حال حاضر ارسال شده است.
 has been freezed. , منجمد شده است.
 has been freezed. \			Only Accounts Manager can do transaction against this account, منجمد شده است. \\ تنها مدیریت حساب معامله با این حساب می توانید انجام دهید
 is a frozen account. , حساب منجمد است.
 is a frozen account. \				Either make the account active or assign role in Accounts Settings \				who can create / modify entries against this account, حساب منجمد است. \\ یا حساب فعال یا تخصیص نقش در تنظیمات حساب را \\ که می تواند ایجاد \/ ویرایش مدخل در برابر این حساب
" is less than equals to zero in the system, \						valuation rate is mandatory for this item", کمتر از معادل صفر در سیستم \\ ارزیابی میزان اجباری برای این مورد است
 is mandatory, الزامی است
 is mandatory for GL Entry, GL ورودی در الزامی است
 is not a ledger, معین نیست
 is not active, فعال نیست
 is not set, تنظیم نشده است
 is not submitted document, نه مشاهده سند
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect., پیش فرض سال مالی در حال حاضر است. \\ تازه لطفا مرورگر خود را برای تغییر را به اثر.
 is present in one or many Active BOMs, در یک یا چند BOMs فعال وجود دارد
 not active or does not exists in the system, غیر فعال و یا وجود دارد در سیستم
 not submitted, نه ارسال شده
 or the BOM is cancelled or inactive, یا BOM لغو شده یا غیر فعال است
 should be 'Yes'. As Item: , باید 'بلی'. به عنوان آیتم:
 should be same as that in , باید همان در
 was on leave on , در مرخصی بود
 will be , خواهد شد
 will be created, ایجاد خواهد شد
 will be over-billed against mentioned , خواهد شد بیش از billed در برابر ذکر شده
 will become , تبدیل خواهد شد
 will exceed by , خواهد شد توسط بیش از
"""Company History""",تاریخچه شرکت
"""Team Members"" or ""Management""",\""اعضای تیم\"" یا \""مدیریت\""
%  Delivered,درصد تحویل
% Amount Billed,% مبلغ صورتحساب
% Billed,% صورتحساب
% Completed,درصد تکمیل
% Installed,% نصب
% Received,% دریافت
% of materials billed against this Purchase Order.,درصد مواد برابر سفارش خرید این صورتحساب.
% of materials billed against this Sales Order,درصد مواد برابر سفارش فروش این صورتحساب
% of materials delivered against this Delivery Note,درصد مواد برابر این یادداشت تحویل تحویل داده می شود
% of materials delivered against this Sales Order,تحویل درصد مواد برابر این سفارش فروش
% of materials ordered against this Material Request,درصد مواد دستور داد در برابر این درخواست مواد
% of materials received against this Purchase Order,درصد مواد دریافت شده در برابر این سفارش خرید
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.",' نه سهام آشتی استفاده می توان مدیریت \\ شما اضافه کردن\/شماره سریال به طور مستقیم، حذف می توانید \\ سهام این آیتم را تغییر دهید.
' in Company: ,' در شرکت:
'To Case No.' cannot be less than 'From Case No.',به مورد شماره' نمی تواند کمتر از 'از مورد شماره'
